Datetime	Price
1538960401	224.29
1538964006	224.29
1538967606	224.29
1538971201	224.29
1538974803	224.29
1538978408	224.29
1538982005	224.29
1538985609	224.29
1538989205	224.29
1538992800	224.29
1538996409	224.29
1539000001	224.29
1539003609	224.29
1539007209	222.992
1539010800	223.11
1539014406	221.495
1539018004	220.98
1539021600	222.51
1539025203	223.39
1539028809	223.77
1539032401	223.77
1539036001	223.77
1539039604	223.77
1539043208	223.77
1539046802	223.77
1539050406	223.77
1539054009	223.77
1539057601	223.77
1539061200	223.77
1539064803	223.77
1539068408	223.77
1539072008	223.77
1539075603	223.77
1539079209	223.77
1539082804	223.77
1539086403	223.77
1539090006	223.77
1539093608	224.20
1539097202	226.3279
1539100804	226.58
1539104400	225.44
1539108006	225.62
1539111604	226.69
1539115209	226.87
1539118804	226.87
1539122408	226.87
1539126009	226.87
1539129600	226.87
1539133204	226.87
1539136807	226.87
1539140407	226.87
1539144009	226.87
1539147600	226.87
1539151293	226.87
1539158407	226.87
1539162081	226.87
1539169202	226.87
1539176401	226.87
1539183607	223.58
1539190808	222.52
1539198008	221.22
1539201600	216.705
1539205205	216.36
1539208802	216.36
1539212408	216.36
1539216004	216.36
1539219601	216.36
1539223204	216.36
1539226801	216.36
1539230406	216.36
1539234010	216.36
1539237605	216.36
1539241207	216.36
1539244807	216.36
1539248405	216.36
1539252005	216.36
1539255605	216.36
1539259201	216.36
1539262807	216.36
1539266417	219.040
1539270005	216.80
1539273629	216.4692
1539277204	216.8400
1539280809	216.91
1539284405	213.60
1539288003	214.43
1539291602	214.45
1539295208	214.45
1539298802	214.45
1539302409	214.45
1539306007	214.45
1539309602	214.45
1539313200	214.45
1539316800	214.45
1539320407	214.45
1539324006	214.45
1539327606	214.45
1539331203	214.45
1539334805	214.45
1539338408	214.45
1539342009	214.45
1539345606	214.45
1539349201	214.45
1539352809	220.69
1539356405	220.20
1539360003	219.061
1539363604	218.60
1539367206	218.5987
1539370801	219.81
1539374400	222.16
1539378000	222.11
1539381602	222.11
1539385205	222.11
1539388801	222.11
1539392401	222.11
1539396008	222.11
1539399603	222.11
1539403208	222.11
1539406806	222.11
1539410404	222.11
1539414005	222.11
1539417609	222.11
1539421209	222.11
1539424804	222.11
1539428400	222.11
1539432001	222.11
1539435603	222.11
1539439209	222.11
1539442801	222.11
1539446404	222.11
1539450007	222.11
1539453605	222.11
1539457208	222.11
1539460807	222.11
1539464409	222.11
1539468002	222.11
1539471609	222.11
1539475205	222.11
1539478802	222.11
